Question;Reponse
You use Azure Security Center. You receive a security alert in Security Center. You need to view recommendations to resolve the alert in Security Center. @- Solution: From Security alerts, you select the alert, select Take Action, and then expand the Prevent future attacks section. @- Does this meet the goal? @- A. Yes @- B. No ; B- No
You receive an alert from Azure Defender for Key Vault. You discover that the alert is generated from multiple suspicious IP addresses. @- You need to reduce the potential of Key Vault secrets being leaked while you investigate the issue. The solution must be implemented as soon as possible and must minimize the impact on legitimate users. @- What should you do first?  @- A. Modify the access control settings for the key vault. @- B. Enable the Key Vault firewall. @- C. Create an application security group. @- D. Modify the access policy for the key vault. ; @- B. Enable the Key Vault firewall
You have an Azure subscription that has Azure Defender enabled for all supported resource types. You create an Azure logic app named LA1. @- You plan to use LA1 to automatically remediate security risks detected in Azure Security Center.  You need to test LA1 in Security Center. @- What should you do? @- Set the LA1 trigger to : @- A. When en Azure Security Center Recommendation is created or triggered  @- B. When an Azure Security Center Alert is created or triggered  @- C. When a response to an Azure Security Center alert is triggered  @- Trigger the execution of LA1 from : @- D. Recommendations @- E. Workflow automation @- F. Security Alerts ; A and F (may be @- D. Recommendation but not sure about this)
You have a Microsoft 365 subscription that uses Azure Defender. You have 100 virtual machines in a resource group named RG1. @- You assign the Security Admin roles to a new user named SecAdmin1. @- You need to ensure that SecAdmin1 can apply quick fixes to the virtual machines by using Azure Defender. The solution must use the principle of least privilege. @- Which role should you assign to SecAdmin1?  @- A. the Security Reader role for the subscription @- B. the Contributor for the subscription @- C. the Contributor role for RG1 @- D. the Owner role for RG1 ; @- C. The Contributor role for RG1
You provision a Linux virtual machine in a new Azure subscription. You enable Azure Defender and onboard the virtual machine to Azure Defender. @- You need to verify that an attack on the virtual machine triggers an alert in Azure Defender. Which two Bash commands should you run on the virtual machine? @- A. cp /bin/echo ./asc_alerttest_662jfi039n  @- B. ./alerttest testing eicar pipe  @- C. cp /bin/echo ./alerttest  @- D. ./asc_alerttest_662jfi039n testing eicar pipe  ; A > D 
You create an Azure subscription named sub1. In sub1, you create a Log Analytics workspace named workspace1.  You enable Azure Security Center and configure Security Center to use workspace1. @- You need to collect security event logs from the Azure virtual machines that report to workspace1.  @- What should you do?  @- A. From Security Center, enable data collection  @- B. In sub1, register a provider.  @- C. From Security Center, create a Workflow automation.  @- D. In workspace1, create a workbook.  ;  @- A.  From Security Center, enable data collection
You create a new Azure subscription and start collecting logs for Azure Monitor. @- You need to configure Azure Security Center to detect possible threats related to sign-ins from suspicious IP addresses to Azure virtual machines. The solution must validate the configuration. @- Which three actions should you perform in a sequence?  @- A. Change the alert severity threshold for emails to medium  @- B. Copy an executable file on a virtual machine and rename the file as ASC_AlertTest_662jfi039N.exe  @- C. Enable Azure Defender for the subscription  @- D. Change the alert severity threshold for emails to Low  @- E. Run the executable file and specify the appropriate arguments  @- F. Rename the executable file as AlertTest.exe  ; C > B > E 
Your company uses Azure Security Center and Azure Defender. @- The security operations team at the company informs you that it does NOT receive email notifications for security alerts. @- What should you configure in Security Center to enable the email notifications?  @- A. Security solutions  @- B. Security policy  @- C. Pricing & settings  @- D. Security alerts  @- E. Azure Defender  ; @- C. Pricing and settings (but the answer is outadated, it should be in Environment settings > email notifications)
You have resources in Azure and Google cloud. @- You need to ingest Google Cloud Platform (GCP) data into Azure Defender. @- In which order should you perform  all the actions ? @- A. Enable Security Health Analytics  @- B. From Azure Security center, add cloud connectors  @- C. Configure the GCP Security Command Center  @- D. Create a dedicated service account and a private key  @- E. Enable the GCP Security Command Center API  ;  C > A > E > D > B (outdated answer, should be : Configure GCP > Create a dedicated project in GCP > Enable required API > Create dedicated service account for security auditing integration > Crate private key for this account > Retrieve your Org ID > Connect GCP auditing to Defender for cloud apps.
You use Azure Security Center. You receive a security alert in Security Center. @-  You need to view recommendations to resolve the alert in Security Center.  @- Solution: From Regulatory compliance, you download the report.  @- Does this meet the goal?  @- A. Yes  @- B. No  ; @- B. No 
You use Azure Security Center. You receive a security alert in Security Center. @-  You need to view recommendations to resolve the alert in Security Center.  @- Solution: From Security alerts, you select the alert, select Take Action, and then expand the Mitigate the threat section.  @- Does this meet the goal?  @- A. Yes  @- B. No ; @- A. Yes 
You have an Azure subscription that has Azure Defender enabled for all supported resource types. @- You need to configure the continuous export of high-severity alerts to enable their retrieval from a third-party SIEM solution. @-  To which service should you export the alerts?  @- A. Azure Cosmos DB  @- B. Azure Event Grid  @- C. Azure Event Hubs  @- D. Azure Data Lake  ; @- C. Azure Event Hubs
You are responsible for responding to Azure Defender for Key Vault alerts. @-  During an investigation of an alert, you discover unauthorized attempts to access a key vault from a Tor exit node.  @- What should you configure to mitigate the threat? @- A. Key Vault firewalls and virtual networks  @- B. Azure Active Directory (Azure AD) permissions  @- C. role-based access control (RBAC) for the key vault  @- D. the access policy settings of the key vault  ; @- A.  Key Vault firewalls and virtual networks
You need to use an Azure Resource Manager template to create a workflow automation that will trigger an automatic remediation when specific security alerts are received by Azure Security Center. @- How should you complete the portion of the template that will provision the required Azure resources?  @- "resources": [ @-   { @-   "type": " ***ANSWER HERE A/B/C*** /automations", @-   "apiVersion": "2019-01-01-preview", @-   "name": "[parameters("name")]", @-   "location": "[parameters("location")]", @-   "properties": { @-     "description": "[format(variables("description"), "{0}", parameters("subscriptionId"))]", @-     "isEnabled": true, @-     "actions": [ @- { @-      "actionType": "LogicApp", @-      "logicAppResourceId": "[resourceId("ITEM2/workflows", parameters("appName"))]", @-      "uri": "[listCallbackURL(resourceId(parameters("subscriptionId"), parameters("resourceGroupName"), " ***ANSWER HERE D/E/F***  /workflows/triggers", @- parameters("appName"), "manual"), "2019-05-01").value]" @- } @- ] @- } @- } @- ] @- ***ANSWER 1*** @- A. Microsoft.Automation @- B. Microsoft.Logic @- C. Microsoft.Security @- ***ANSWER 2*** @- D. Microsoft.Automation @- E. Microsoft.Logic @- F. Microsoft.Security ; @- C. Microsoft Security , @- E. Microsoft Logic
